Project,Variable,min,max
Klimawandel,Wind_Diag_1_TOT,,
Klimawandel,Wind_Diag_2_TOT,,
Klimawandel,Wind_Diag_4_TOT,,
Klimawandel,Wind_Diag_8_TOT,,
Klimawandel,Wind_Diag_9_TOT,,
Klimawandel,Wind_Diag_10_TOT,,
Klimawandel,no_data_TOT,,
Klimawandel,SR50_SnowDepth_Avg,-1,5
Klimawandel,SR50_SnowDepth,-1,5
Klimawandel,SR50_SnowDepth_Std,,
Klimawandel,SR50_Quality_Avg,,
Klimawandel,SR50_Quality,,
Klimawandel,SR50_Quality_Std,,
Klimawandel,SR50_T_Air_Avg,-50,100
Klimawandel,SR50_T_Air,-50,100
Klimawandel,SR50_T_Air_Std,,
Klimawandel,ST_CS_00_Avg,-50,100
Klimawandel,ST_CS_00_Std,,
Klimawandel,ST_CS_05_Avg,-50,100
Klimawandel,ST_CS_05_Std,,
Klimawandel,ST_CS_10_Avg,-50,100
Klimawandel,ST_CS_10_Std,,
Klimawandel,ST_CS_20_Avg,-50,100
Klimawandel,ST_CS_20_Std,,
Klimawandel,ST_CS_50_Avg,-50,100
Klimawandel,ST_CS_50_Std,,
Klimawandel,ST_CI_00_Avg,-50,100
Klimawandel,ST_CI_00_Std,,
Klimawandel,ST_CI_05_Avg,-50,100
Klimawandel,ST_CI_05_Std,,
Klimawandel,ST_CI_10_Avg,-50,100
Klimawandel,ST_CI_10_Std,,
Klimawandel,ST_CI_20_Avg,-50,100
Klimawandel,ST_CI_20_Std,,
Klimawandel,ST_CI_50_Avg,-50,100
Klimawandel,ST_CI_50_Std,,
Klimawandel,SWC_CS_05_Avg,-1,2
Klimawandel,SWC_CS_05_Std,,
Klimawandel,SWC_CS_20_Avg,-1,2
Klimawandel,SWC_CS_20_Std,,
Klimawandel,SWC_CI_05_Avg,-1,2
Klimawandel,SWC_CI_05_Std,,
Klimawandel,SWC_CI_20_Avg,-1,2
Klimawandel,SWC_CI_20_Std,,
Klimawandel,SWC_LS_05_Avg,-1,2
Klimawandel,SWC_LS_05_Std,,
Klimawandel,SWC_LS_20_Avg,-1,2
Klimawandel,SWC_LS_20_Std,,
Klimawandel,SWC_TS_05_Avg,-1,2
Klimawandel,SWC_TS_05_Std,,
Klimawandel,SWC_TS_20_Avg,-1,2
Klimawandel,SWC_TS_20_Std,,
Klimawandel,SWC_LI_05_Avg,-1,2
Klimawandel,SWC_LI_05_Std,,
Klimawandel,SWC_LI_20_Avg,-1,2
Klimawandel,SWC_LI_20_Std,,
Klimawandel,SWC_BK_05_Avg,-1,2
Klimawandel,SWC_BK_05_Std,,
Klimawandel,SWC_BK_20_Avg,-1,2
Klimawandel,SWC_BK_20_Std,,
Klimawandel,SHF_Avg,-500,500
Klimawandel,SHF_Std,,
Klimawandel,Target_T_mV_Avg,-5,5
Klimawandel,Target_T_mV_Std,,
Klimawandel,Body_T_Avg,-50,100
Klimawandel,Body_T_Std,,
Klimawandel,Target_T_Avg,-50,100
Klimawandel,Target_T_Std,,
Klimawandel,Batt_Volt_Avg,-1,50
Klimawandel,Precipitation_Intensity_Avg,-1,1000
Klimawandel,Precipitation_Intensity_Std,,
Klimawandel,Precipitation_Intensity_Max,-1,1000
Klimawandel,Precipitation__Tot,-1,100
Klimawandel,Precipitation_NRT_Tot,-1,100
Klimawandel,Precipitation_NRT_CK,-1,10000
Klimawandel,Precipitation_BucketContent,-10,100
Klimawandel,Precipitation_BucketContent_NRT,-10,100
Klimawandel,Pluviometer_Level,-20,150
Klimawandel,Precipitation_T_Cell_Avg,-50,100
Klimawandel,Precipitation_T_Cell_Std,,
Klimawandel,Precipitation_PluvioStatus,,
Klimawandel,Precipitation_HeaterStatus,,
Klimawandel,Precipitation_T_ElectricUnit_Avg,-50,100
Klimawandel,Precipitation_T_ElectricUnit_Std,,
Klimawandel,Precipitation_T_HeatingRim_Avg,-50,100
Klimawandel,Precipitation_T_HeatingRim_Std,,
Klimawandel,Precipitation_SupplyVoltage_Avg,-1,50
Klimawandel,Precipitation_SupplyVoltage_Std,,
Klimawandel,Batt_Volt_Min,-1,50
Klimawandel,T_107_C_Avg,-50,100
Klimawandel,T_air_Avg,-50,100
Klimawandel,T_air_Std,,
Klimawandel,RH,-50,150
Klimawandel,Rs_Avg,-500,2000
Klimawandel,Rs_Std,,
Klimawandel,PARsoil_L_Avg,-1000,4000
Klimawandel,PARsoil_L_Std,,
Klimawandel,PARsoil_20cm_Avg,-1000,4000
Klimawandel,PARsoil_20cm_Std,,
Klimawandel,PARsoil_LSp_Avg,-1000,4000
Klimawandel,PARsoil_LSp_Std,,
Klimawandel,PARsoil_LSm_Avg,-1000,4000
Klimawandel,PARsoil_LSm_Std,,
Klimawandel,Wind_Speed_Avg,-5,50
Klimawandel,Wind_Speed_Max,-5,50
Klimawandel,Wind_Speed_Std,,
Klimawandel,Wind_SmplsF_Tot,,
Klimawandel,Wind_Diag1F_Tot,,
Klimawandel,Wind_Diag2F_Tot,,
Klimawandel,Wind_Diag4F_Tot,,
Klimawandel,Wind_Diag8F_Tot,,
Klimawandel,Wind_Diag9F_Tot,,
Klimawandel,Wind_Diag10F_Tot,,
Klimawandel,Wind_NNDF_Tot,,
Klimawandel,SR50A_SnowDepth_Meters,-1,5
Klimawandel,SR50A_SnowDepth_Meters_Std,,
Klimawandel,SR50A_QualityVal,,
Klimawandel,SR50A_QualityVal_Std,,
Klimawandel,SR50A_AirTempC,-50,100
Klimawandel,SR50A_AirTempC_Std,,
Klimawandel,SR50A_Snow_Dist,-1,5
Klimawandel,SR50A_Snow_Dist_Std,,
Klimawandel,SR50A_Snow_Dist0,-1,5
Klimawandel,SR50A_Snow_Dist0_Std,,
Klimawandel,SR50A_Snow_Depth,-1,5
Klimawandel,SR50A_Snow_Depth_Std,,
Klimawandel,SR50A_Snow_Quality,,
Klimawandel,SR50A_Snow_Quality_Std,,
Klimawandel,SR50A_AirTempC,-50,100
Klimawandel,SR50A_AirTempC_Std,,
Klimawandel,Tsoil_CS_z0_Avg,-50,100
Klimawandel,Tsoil_CS_z0_Std,,
Klimawandel,Tsoil_CS_z5_Avg,-50,100
Klimawandel,Tsoil_CS_z5_Std,,
Klimawandel,Tsoil_CS_z10_Avg,-50,100
Klimawandel,Tsoil_CS_z10_Std,,
Klimawandel,Tsoil_CS_z20_Avg,-50,100
Klimawandel,Tsoil_CS_z20_Std,,
Klimawandel,Tsoil_CS_z50_Avg,-50,100
Klimawandel,Tsoil_CS_z50_Std,,
Klimawandel,Tsoil_CI_z0_Avg,-50,100
Klimawandel,Tsoil_CI_z0_Std,,
Klimawandel,Tsoil_CI_z5_Avg,-50,100
Klimawandel,Tsoil_CI_z5_Std,,
Klimawandel,Tsoil_CI_z10_Avg,-50,100
Klimawandel,Tsoil_CI_z10_Std,,
Klimawandel,Tsoil_CI_z20_Avg,-50,100
Klimawandel,Tsoil_CI_z20_Std,,
Klimawandel,Tsoil_CI_z50_Avg,-50,100
Klimawandel,Tsoil_CI_z50_Std,,
Klimawandel,SWP_CSn_z5_Avg,-1,10000
Klimawandel,SWP_CSn_z5_Std,,
Klimawandel,SWP_CSn_z20_Avg,-1,10000
Klimawandel,SWP_CSn_z20_Std,,
Klimawandel,SWP_CSt_z5_Avg,-1,10000
Klimawandel,SWP_CSt_z5_Std,,
Klimawandel,SWP_CSt_z20_Avg,-1,10000
Klimawandel,SWP_CSt_z20_Std,,
Klimawandel,SWP_CI_z5_Avg,-1,10000
Klimawandel,SWP_CI_z5_Std,,
Klimawandel,SWP_CI_z20_Avg,-1,10000
Klimawandel,SWP_CI_z20_Std,,
Klimawandel,SWC_CSt_z5_Avg,-1,2
Klimawandel,SWC_CSt_z5_Std,,
Klimawandel,SWC_CSt_z20_Avg,-1,2
Klimawandel,SWC_CSt_z20_Std,,
Klimawandel,SWC_CSn_z5_Avg,-1,2
Klimawandel,SWC_CSn_z5_Std,,
Klimawandel,PARsoil_LSt_Avg,-1000,4000
Klimawandel,PARsoil_LSt_Std,,
Klimawandel,PARsoil_TSt_Avg,-1000,4000
Klimawandel,PARsoil_TSt_Std,,
Klimawandel,PARsoil_LSn_Avg,-1000,4000
Klimawandel,PARsoil_LSn_Std,,
Klimawandel,PARsoil_TSn_Avg,-1000,4000
Klimawandel,PARsoil_TSn_Std,,
Klimawandel,SWC_CSn_z20_Avg,-1,2
Klimawandel,SWC_CSn_z20_Std,,
Klimawandel,PARsoil_LSn2_Avg,-1000,4000
Klimawandel,PARsoil_LSn2_Std,,
Klimawandel,PARsoil_LSn3_Avg,-1000,4000
Klimawandel,PARsoil_LSn3_Std,,
Klimawandel,SWC_CI_z5_Avg,-1,2
Klimawandel,SWC_CI_z5_Std,,
Klimawandel,SWC_T_z5_Avg,-1,2
Klimawandel,SWC_T_z5_Std,,
Klimawandel,SWC_LS_z5_Avg,-1,2
Klimawandel,SWC_LS_z5_Std,,
Klimawandel,SWC_T_z20_Avg,-1,2
Klimawandel,SWC_T_z20_Std,,
Klimawandel,SWC_L_z5_Avg,-1,2
Klimawandel,SWC_L_z5_Std,,
Klimawandel,SWC_L_z20_Avg,-1,2
Klimawandel,SWC_L_z20_Std,,
Klimawandel,PARsoil_TSn2_Avg,-1000,4000
Klimawandel,PARsoil_TSn2_Std,,
Klimawandel,PARsoil_TSn3_Avg,-1000,4000
Klimawandel,PARsoil_TSn3_Std,,
Klimawandel,SWC_LSp_z5_Avg,-1,2
Klimawandel,SWC_LSp_z5_Std,,
Klimawandel,SWC_LSp_z20_Avg,-1,2
Klimawandel,SWC_LSp_z20_Std,,
Klimawandel,SWC_TSt_z5_Avg,-1,2
Klimawandel,SWC_TSt_z5_Std,,
Klimawandel,SWC_TSt_z20_Avg,-1,2
Klimawandel,SWC_TSt_z20_Std,,
Klimawandel,SWC_LSt_z5_Avg,-1,2
Klimawandel,SWC_LSt_z5_Std,,
Klimawandel,SWC_LSt_z20_Avg,-1,2
Klimawandel,SWC_LSt_z20_Std,,
Klimawandel,SWC_TSn_z5_Avg,-1,2
Klimawandel,SWC_TSn_z5_Std,,
Klimawandel,SWC_TSn_z20_Avg,-1,2
Klimawandel,SWC_TSn_z20_Std,,
Klimawandel,SWC_CI_swf_z50_mid_Avg,-1,2
Klimawandel,SWC_CI_swf_z50_mid_Std,,
Klimawandel,SR01Up_Avg,-500,2000
Klimawandel,SR01Up_Std,,
Klimawandel,SR01Dn_Avg,-500,2000
Klimawandel,SR01Dn_Std,,
Klimawandel,IR01Up_Avg,-500,500
Klimawandel,IR01Up_Std,,
Klimawandel,IR01Dn_Avg,-500,500
Klimawandel,IR01Dn_Std,,
Klimawandel,NR01TC_Avg,-50,100
Klimawandel,NR01TC_Std,,
Klimawandel,NR01TK_Avg,200,350
Klimawandel,NR01TK_Std,,
Klimawandel,NetRs_Avg,-1000,2000
Klimawandel,NetRs_Std,,
Klimawandel,NetRl_Avg,-1000,2000
Klimawandel,NetRl_Std,,
Klimawandel,Albedo_Avg,-1,2
Klimawandel,Albedo_Std,,
Klimawandel,UpTot_Avg,-500,2000
Klimawandel,UpTot_Std,,
Klimawandel,DnTot_Avg,-500,2000
Klimawandel,DnTot_Std,,
Klimawandel,NetTot_Avg,-1000,2000
Klimawandel,NetTot_Std,,
Klimawandel,IR01UpCo_Avg,-100,1000
Klimawandel,IR01UpCo_Std,,
Klimawandel,IR01DnCo_Avg,-100,1000
Klimawandel,IR01DnCo_Std,,
Klimawandel,NR_SW_Up_Avg,-500,2000
Klimawandel,NR_SW_Up_Std,,
Klimawandel,NR_SW_Dn_Avg,-500,2000
Klimawandel,NR_SW_Dn_Std,,
Klimawandel,NR_LW_Up_Avg,-500,500
Klimawandel,NR_LW_Up_Std,,
Klimawandel,NR_LW_Dn_Avg,-500,500
Klimawandel,NR_LW_Dn_Std,,
Klimawandel,NR_TC_Avg,-50,100
Klimawandel,NR_TC_Std,,
Klimawandel,NR_SW_Net_Avg,-1000,2000
Klimawandel,NR_SW_Net_Std,,
Klimawandel,NR_LW_Net_Avg,-1000,2000
Klimawandel,NR_LW_Net_Std,,
Klimawandel,NR_Albedo_Avg,-1,2
Klimawandel,NR_Albedo_Std,,
Klimawandel,NR_Tot_Up_Avg,-500,2000
Klimawandel,NR_Tot_Up_Std,,
Klimawandel,NR_Tot_Dn_Avg,-500,2000
Klimawandel,NR_Tot_Dn_Std,,
Klimawandel,NR_Tot_Net_Avg,-1000,2000
Klimawandel,NR_Tot_Net_Std,,
Klimawandel,NR_LW_Up_Comp_Avg,-100,1000
Klimawandel,NR_LW_Up_Comp_Std,,
Klimawandel,NR_LW_Dn_Comp_Avg,-100,1000
Klimawandel,NR_LW_Dn_Comp_Std,,
Klimawandel,T_107_C_Std,,
Klimawandel,PARsoil_LS_Avg,-1000,4000
Klimawandel,PARsoil_LS_Std,,
Klimawandel,PARsoil_LI_Avg,-1000,4000
Klimawandel,PARsoil_LI_Std,,
Klimawandel,Precip_soil_CS_Tot,-1,100
Klimawandel,Precip_soil_CI_Tot,-1,100
Klimawandel,Precip_T_Int15_Tot,-1,100
Klimawandel,mean_wind_speed,-5,50
Klimawandel,mean_wind_direction,-50,400
Klimawandel,std_wind_dir,,
Klimawandel,diag_1_TOT,,
Klimawandel,diag_2_TOT,,
Klimawandel,diag_4_TOT,,
Klimawandel,diag_8_TOT,,
Klimawandel,diag_9_TOT,,
Klimawandel,diag_10_TOT,,
Klimawandel,T_soil_CS_z0_Avg,-50,100
